,No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM
58,82,2010,1,4,9,4,-22.0,46.0,1029.0,-13.0,NW,90.73,0.0,0.0,27.0
59,83,2010,1,4,10,4,-22.0,43.0,1030.0,-12.0,NW,100.56,0.0,0.0,25.0
60,84,2010,1,4,11,4,-23.0,39.0,1031.0,-12.0,NW,108.61,0.0,0.0,29.0
61,85,2010,1,4,12,4,-21.0,43.0,1030.0,-11.0,NW,117.55,0.0,0.0,32.0
62,86,2010,1,4,13,4,-20.0,43.0,1030.0,-10.0,NW,127.38,0.0,0.0,28.0
63,87,2010,1,4,14,4,-21.0,40.0,1030.0,-10.0,NW,136.32,0.0,0.0,29.0
64,88,2010,1,4,15,4,-21.0,37.0,1030.0,-9.0,NW,145.26,0.0,0.0,30.0
65,89,2010,1,4,16,4,-21.0,37.0,1031.0,-9.0,NW,152.41,0.0,0.0,30.0
66,90,2010,1,4,17,4,-20.0,47.0,1032.0,-11.0,NW,159.56,0.0,0.0,28.0
67,91,2010,1,4,18,4,-23.0,36.0,1032.0,-11.0,NW,165.37,0.0,0.0,26.0
68,92,2010,1,4,19,4,-21.0,47.0,1033.0,-12.0,NW,171.18,0.0,0.0,31.0
69,93,2010,1,4,20,4,-24.0,36.0,1034.0,-12.0,NW,180.12,0.0,0.0,33.0
70,94,2010,1,4,21,4,-24.0,39.0,1034.0,-13.0,NW,187.27,0.0,0.0,29.0
71,95,2010,1,4,22,4,-24.0,39.0,1035.0,-13.0,NW,195.32,0.0,0.0,31.0
72,96,2010,1,4,23,4,-26.0,38.0,1035.0,-15.0,NW,198.45,0.0,0.0,30.0
73,97,2010,1,5,0,4,-26.0,45.0,1035.0,-17.0,NW,201.58,0.0,0.0,34.0
74,98,2010,1,5,1,4,-26.0,49.0,1035.0,-18.0,NW,205.6,0.0,0.0,27.0
75,99,2010,1,5,2,4,-26.0,53.0,1035.0,-19.0,NW,208.73,0.0,0.0,25.0
76,100,2010,1,5,3,4,-27.0,45.0,1035.0,-18.0,NW,213.65,0.0,0.0,28.0
77,101,2010,1,5,4,4,-27.0,49.0,1035.0,-19.0,NW,218.57,0.0,0.0,28.0
78,102,2010,1,5,5,4,-27.0,38.0,1034.0,-16.0,NE,4.92,0.0,0.0,27.0
79,103,2010,1,5,6,4,-26.0,41.0,1035.0,-16.0,NE,8.05,0.0,0.0,27.0
80,104,2010,1,5,7,4,-27.0,38.0,1034.0,-16.0,NE,13.86,0.0,0.0,27.0
81,105,2010,1,5,8,4,-26.0,41.0,1035.0,-16.0,NE,18.78,0.0,0.0,29.0
82,106,2010,1,5,9,4,-26.0,38.0,1035.0,-15.0,NE,24.59,0.0,0.0,36.0
83,107,2010,1,5,10,4,-25.0,38.0,1035.0,-14.0,NE,29.51,0.0,0.0,30.0
84,108,2010,1,5,11,4,-25.0,35.0,1035.0,-13.0,NE,34.43,0.0,0.0,27.0
85,109,2010,1,5,12,4,-25.0,33.0,1034.0,-12.0,NE,39.35,0.0,0.0,39.0
86,110,2010,1,5,13,4,-24.0,33.0,1032.0,-11.0,NE,41.14,0.0,0.0,41.0
87,111,2010,1,5,14,4,-22.0,39.0,1032.0,-11.0,cv,0.89,0.0,0.0,33.0
88,112,2010,1,5,15,4,-23.0,36.0,1031.0,-11.0,NW,1.79,0.0,0.0,50.0
89,113,2010,1,5,16,4,-24.0,33.0,1031.0,-11.0,NW,3.58,0.0,0.0,56.0
90,114,2010,1,5,17,4,-23.0,36.0,1031.0,-11.0,NW,5.37,0.0,0.0,59.0
91,115,2010,1,5,18,4,-23.0,36.0,1032.0,-11.0,NW,7.16,0.0,0.0,60.0
92,116,2010,1,5,19,4,-22.0,46.0,1033.0,-13.0,NW,10.29,0.0,0.0,84.0
93,117,2010,1,5,20,4,-22.0,43.0,1033.0,-12.0,NW,13.42,0.0,0.0,106.0
94,118,2010,1,5,21,4,-24.0,59.0,1033.0,-18.0,NW,16.55,0.0,0.0,66.0
95,119,2010,1,5,22,4,-22.0,46.0,1034.0,-13.0,NW,20.57,0.0,0.0,50.0
96,120,2010,1,5,23,4,-22.0,59.0,1033.0,-16.0,NW,23.7,0.0,0.0,56.0
97,121,2010,1,6,0,4,-25.0,49.0,1033.0,-17.0,NW,26.83,0.0,0.0,77.0
98,122,2010,1,6,1,4,-25.0,38.0,1033.0,-14.0,NE,4.02,0.0,0.0,50.0
99,123,2010,1,6,2,4,-26.0,35.0,1034.0,-14.0,NE,8.04,0.0,0.0,44.0
100,124,2010,1,6,3,4,-26.0,35.0,1033.0,-14.0,NE,13.85,0.0,0.0,27.0
101,125,2010,1,6,4,4,-26.0,35.0,1033.0,-14.0,NE,17.87,0.0,0.0,28.0
102,126,2010,1,6,5,4,-26.0,35.0,1033.0,-14.0,NE,23.68,0.0,0.0,21.0
103,127,2010,1,6,6,4,-26.0,35.0,1033.0,-14.0,NE,28.6,0.0,0.0,25.0
104,128,2010,1,6,7,4,-26.0,38.0,1034.0,-15.0,NE,33.52,0.0,0.0,20.0
105,129,2010,1,6,8,4,-26.0,35.0,1034.0,-14.0,NE,39.33,0.0,0.0,29.0
106,130,2010,1,6,9,4,-25.0,35.0,1035.0,-13.0,NE,44.25,0.0,0.0,34.0
107,131,2010,1,6,10,4,-25.0,33.0,1035.0,-12.0,NE,50.06,0.0,0.0,42.0
108,132,2010,1,6,11,4,-24.0,33.0,1035.0,-11.0,NE,54.98,0.0,0.0,28.0
109,133,2010,1,6,12,4,-24.0,30.0,1034.0,-10.0,NE,59.0,0.0,0.0,36.0
110,134,2010,1,6,13,4,-22.0,36.0,1033.0,-10.0,NW,4.02,0.0,0.0,48.0
111,135,2010,1,6,14,4,-22.0,34.0,1033.0,-9.0,NW,5.81,0.0,0.0,49.0
112,136,2010,1,6,15,4,-22.0,31.0,1033.0,-8.0,cv,0.89,0.0,0.0,52.0
113,137,2010,1,6,16,4,-22.0,31.0,1033.0,-8.0,NW,1.79,0.0,0.0,56.0
114,138,2010,1,6,17,4,-21.0,37.0,1033.0,-9.0,NW,3.58,0.0,0.0,96.0
115,139,2010,1,6,18,4,-22.0,34.0,1033.0,-9.0,NW,5.37,0.0,0.0,75.0
116,140,2010,1,6,19,4,-22.0,50.0,1034.0,-14.0,cv,0.89,0.0,0.0,105.0
117,141,2010,1,6,20,4,-22.0,43.0,1035.0,-12.0,NW,1.79,0.0,0.0,132.0
118,142,2010,1,6,21,4,-21.0,55.0,1034.0,-14.0,NW,3.58,0.0,0.0,93.0
119,143,2010,1,6,22,4,-22.0,59.0,1035.0,-16.0,NW,5.37,0.0,0.0,131.0
120,144,2010,1,6,23,4,-21.0,65.0,1035.0,-16.0,NW,7.16,0.0,0.0,127.0
121,145,2010,1,7,0,4,-21.0,65.0,1035.0,-16.0,NW,8.95,0.0,0.0,130.0
122,146,2010,1,7,1,4,-21.0,65.0,1035.0,-16.0,cv,0.45,0.0,0.0,43.0
123,147,2010,1,7,2,4,-22.0,70.0,1036.0,-18.0,cv,1.34,0.0,0.0,37.0
124,148,2010,1,7,3,4,-23.0,50.0,1036.0,-15.0,NW,4.02,0.0,0.0,30.0
125,149,2010,1,7,4,4,-24.0,50.0,1035.0,-16.0,NW,7.15,0.0,0.0,28.0
126,150,2010,1,7,5,4,-25.0,42.0,1035.0,-15.0,NW,10.28,0.0,0.0,24.0
127,151,2010,1,7,6,4,-24.0,46.0,1035.0,-15.0,NW,14.3,0.0,0.0,23.0
128,152,2010,1,7,7,4,-25.0,35.0,1036.0,-13.0,NE,4.92,0.0,0.0,24.0
129,153,2010,1,7,8,4,-24.0,42.0,1036.0,-14.0,NW,4.02,0.0,0.0,27.0
130,154,2010,1,7,9,4,-23.0,39.0,1036.0,-12.0,NW,8.94,0.0,0.0,40.0
131,155,2010,1,7,10,4,-22.0,39.0,1036.0,-11.0,NW,12.96,0.0,0.0,42.0
132,156,2010,1,7,11,4,-20.0,43.0,1036.0,-10.0,NW,16.09,0.0,0.0,42.0
133,157,2010,1,7,12,4,-21.0,37.0,1035.0,-9.0,NW,19.22,0.0,0.0,55.0
134,158,2010,1,7,13,4,-21.0,34.0,1034.0,-8.0,NW,21.01,0.0,0.0,52.0
135,159,2010,1,7,14,4,-20.0,34.0,1033.0,-7.0,NW,22.8,0.0,0.0,51.0
136,160,2010,1,7,15,4,-20.0,34.0,1032.0,-7.0,NW,24.59,0.0,0.0,57.0
137,161,2010,1,7,16,4,-18.0,44.0,1032.0,-8.0,NW,26.38,0.0,0.0,50.0
138,162,2010,1,7,17,4,-19.0,44.0,1032.0,-9.0,NW,28.17,0.0,0.0,54.0
139,163,2010,1,7,18,4,-19.0,51.0,1032.0,-11.0,NE,0.89,0.0,0.0,67.0
140,164,2010,1,7,19,4,-18.0,56.0,1033.0,-11.0,NW,1.79,0.0,0.0,106.0
141,165,2010,1,7,20,4,-19.0,71.0,1032.0,-15.0,NE,1.79,0.0,0.0,159.0
142,166,2010,1,7,21,4,-19.0,65.0,1032.0,-14.0,cv,0.45,0.0,0.0,198.0
143,167,2010,1,7,22,4,-21.0,55.0,1032.0,-14.0,cv,1.34,0.0,0.0,190.0
144,168,2010,1,7,23,4,-21.0,65.0,1032.0,-16.0,cv,2.23,0.0,0.0,210.0
145,169,2010,1,8,0,4,-21.0,71.0,1031.0,-17.0,NW,1.79,0.0,0.0,195.0
146,170,2010,1,8,1,4,-19.0,77.0,1031.0,-16.0,NW,3.58,0.0,0.0,275.0
147,171,2010,1,8,2,4,-20.0,71.0,1031.0,-16.0,NE,0.89,0.0,0.0,164.0
148,172,2010,1,8,3,4,-19.0,71.0,1030.0,-15.0,SE,0.89,0.0,0.0,110.0
149,173,2010,1,8,4,4,-18.0,77.0,1030.0,-15.0,cv,0.45,0.0,0.0,100.0
150,174,2010,1,8,5,4,-18.0,77.0,1029.0,-15.0,cv,1.34,0.0,0.0,81.0
151,175,2010,1,8,6,4,-18.0,77.0,1029.0,-15.0,NW,1.79,0.0,0.0,71.0
152,176,2010,1,8,7,4,-16.0,78.0,1029.0,-13.0,NE,0.89,0.0,0.0,66.0
153,177,2010,1,8,8,4,-16.0,72.0,1029.0,-12.0,SE,0.89,0.0,0.0,92.0
154,178,2010,1,8,9,4,-16.0,72.0,1030.0,-12.0,SE,1.78,0.0,0.0,135.0
155,179,2010,1,8,10,4,-17.0,56.0,1030.0,-10.0,NE,0.89,0.0,0.0,155.0
156,180,2010,1,8,11,4,-16.0,61.0,1029.0,-10.0,cv,0.89,0.0,0.0,198.0
157,181,2010,1,8,12,4,-16.0,56.0,1028.0,-9.0,SE,3.13,0.0,0.0,250.0
158,182,2010,1,8,13,4,-15.0,57.0,1026.0,-8.0,SE,4.92,0.0,0.0,200.0
159,183,2010,1,8,14,4,-16.0,52.0,1026.0,-8.0,cv,0.89,0.0,0.0,231.0
160,184,2010,1,8,15,4,-16.0,52.0,1025.0,-8.0,cv,1.78,0.0,0.0,250.0
161,185,2010,1,8,16,4,-16.0,52.0,1025.0,-8.0,cv,2.67,0.0,0.0,212.0
162,186,2010,1,8,17,4,-17.0,48.0,1025.0,-8.0,SE,0.89,0.0,0.0,219.0
163,187,2010,1,8,18,4,-17.0,52.0,1026.0,-9.0,cv,0.45,0.0,0.0,227.0
164,188,2010,1,8,19,4,-17.0,61.0,1026.0,-11.0,cv,1.34,0.0,0.0,226.0
165,189,2010,1,8,20,4,-17.0,66.0,1026.0,-12.0,cv,1.79,0.0,0.0,225.0
166,190,2010,1,8,21,4,-18.0,71.0,1027.0,-14.0,NW,1.79,0.0,0.0,168.0
167,191,2010,1,8,22,4,-16.0,56.0,1027.0,-9.0,NW,4.92,0.0,0.0,169.0
168,192,2010,1,8,23,4,-16.0,66.0,1027.0,-11.0,NW,6.71,0.0,0.0,165.0
169,193,2010,1,9,0,4,-17.0,71.0,1027.0,-13.0,cv,0.89,0.0,0.0,159.0
170,194,2010,1,9,1,4,-17.0,71.0,1027.0,-13.0,NW,3.13,0.0,0.0,167.0
171,195,2010,1,9,2,4,-17.0,77.0,1027.0,-14.0,NW,4.92,0.0,0.0,196.0
172,196,2010,1,9,3,4,-17.0,84.0,1027.0,-15.0,NW,8.05,0.0,0.0,169.0
173,197,2010,1,9,4,4,-17.0,71.0,1027.0,-13.0,NW,9.84,0.0,0.0,155.0
174,198,2010,1,9,5,4,-19.0,77.0,1027.0,-16.0,NW,13.86,0.0,0.0,119.0
175,199,2010,1,9,6,4,-18.0,77.0,1027.0,-15.0,NW,17.88,0.0,0.0,106.0
176,200,2010,1,9,7,4,-19.0,71.0,1027.0,-15.0,NW,21.9,0.0,0.0,93.0
177,201,2010,1,9,8,4,-18.0,71.0,1028.0,-14.0,NW,25.92,0.0,0.0,84.0
178,202,2010,1,9,9,4,-18.0,48.0,1029.0,-9.0,NE,5.81,0.0,0.0,73.0
179,203,2010,1,9,10,4,-17.0,44.0,1029.0,-7.0,NE,11.62,0.0,0.0,66.0
180,204,2010,1,9,11,4,-17.0,41.0,1030.0,-6.0,NE,17.43,0.0,0.0,40.0
181,205,2010,1,9,12,4,-16.0,45.0,1029.0,-6.0,NE,23.24,0.0,0.0,49.0
182,206,2010,1,9,13,4,-16.0,41.0,1029.0,-5.0,NE,28.16,0.0,0.0,50.0
183,207,2010,1,9,14,4,-15.0,42.0,1029.0,-4.0,NE,33.08,0.0,0.0,49.0
184,208,2010,1,9,15,4,-14.0,45.0,1028.0,-4.0,NE,37.1,0.0,0.0,41.0
185,209,2010,1,9,16,4,-15.0,42.0,1029.0,-4.0,NE,38.89,0.0,0.0,37.0
186,210,2010,1,9,17,4,-15.0,42.0,1030.0,-4.0,NW,1.79,0.0,0.0,45.0
187,211,2010,1,9,18,4,-15.0,52.0,1030.0,-7.0,NE,3.13,0.0,0.0,44.0
188,212,2010,1,9,19,4,-15.0,48.0,1031.0,-6.0,NW,3.13,0.0,0.0,54.0
189,213,2010,1,9,20,4,-15.0,52.0,1032.0,-7.0,NW,4.92,0.0,0.0,50.0
190,214,2010,1,9,21,4,-15.0,48.0,1032.0,-6.0,NE,3.13,0.0,0.0,47.0
191,215,2010,1,9,22,4,-15.0,57.0,1033.0,-8.0,cv,0.45,0.0,0.0,66.0
192,216,2010,1,9,23,4,-15.0,57.0,1033.0,-8.0,cv,0.9,0.0,0.0,75.0
193,217,2010,1,10,0,4,-15.0,72.0,1033.0,-11.0,NW,0.89,0.0,0.0,82.0
194,218,2010,1,10,1,4,-17.0,71.0,1033.0,-13.0,NW,1.78,0.0,0.0,66.0
195,219,2010,1,10,2,4,-17.0,66.0,1033.0,-12.0,NW,4.91,0.0,0.0,83.0
196,220,2010,1,10,3,4,-17.0,71.0,1033.0,-13.0,NW,8.04,0.0,0.0,62.0
197,221,2010,1,10,4,4,-19.0,65.0,1032.0,-14.0,NW,9.83,0.0,0.0,40.0
198,222,2010,1,10,5,4,-18.0,66.0,1032.0,-13.0,NW,12.96,0.0,0.0,23.0
199,223,2010,1,10,6,4,-19.0,60.0,1032.0,-13.0,NW,16.09,0.0,0.0,25.0
200,224,2010,1,10,7,4,-19.0,65.0,1033.0,-14.0,NW,19.22,0.0,0.0,27.0
201,225,2010,1,10,8,4,-19.0,65.0,1034.0,-14.0,NW,22.35,0.0,0.0,35.0
202,226,2010,1,10,9,4,-17.0,66.0,1033.0,-12.0,NW,24.14,0.0,0.0,50.0
203,227,2010,1,10,10,4,-16.0,48.0,1033.0,-7.0,NE,4.02,0.0,0.0,70.0
204,228,2010,1,10,11,4,-15.0,52.0,1033.0,-7.0,NW,3.13,0.0,0.0,75.0
205,229,2010,1,10,12,4,-15.0,52.0,1032.0,-7.0,NW,6.26,0.0,0.0,58.0
206,230,2010,1,10,13,4,-14.0,53.0,1031.0,-6.0,NW,9.39,0.0,0.0,70.0
207,231,2010,1,10,14,4,-14.0,53.0,1031.0,-6.0,NW,12.52,0.0,0.0,68.0
208,232,2010,1,10,15,4,-13.0,53.0,1030.0,-5.0,NW,14.31,0.0,0.0,71.0
209,233,2010,1,10,16,4,-14.0,49.0,1031.0,-5.0,NW,16.1,0.0,0.0,88.0
210,234,2010,1,10,17,4,-14.0,53.0,1031.0,-6.0,NW,19.23,0.0,0.0,84.0
211,235,2010,1,10,18,4,-13.0,62.0,1032.0,-7.0,NW,23.25,0.0,0.0,83.0
212,236,2010,1,10,19,4,-15.0,48.0,1032.0,-6.0,NW,27.27,0.0,0.0,66.0
213,237,2010,1,10,20,4,-15.0,48.0,1033.0,-6.0,NW,30.4,0.0,0.0,27.0
214,238,2010,1,10,21,4,-15.0,42.0,1034.0,-4.0,NW,35.32,0.0,0.0,24.0
215,239,2010,1,10,22,4,-16.0,38.0,1034.0,-4.0,NW,44.26,0.0,0.0,22.0
216,240,2010,1,10,23,4,-17.0,38.0,1035.0,-5.0,NW,52.31,0.0,0.0,23.0
217,241,2010,1,11,0,4,-17.0,41.0,1035.0,-6.0,NW,60.36,0.0,0.0,27.0
218,242,2010,1,11,1,4,-17.0,48.0,1035.0,-8.0,cv,0.89,0.0,0.0,23.0
219,243,2010,1,11,2,4,-19.0,51.0,1036.0,-11.0,NW,4.02,0.0,0.0,17.0
220,244,2010,1,11,3,4,-20.0,47.0,1036.0,-11.0,NW,8.94,0.0,0.0,17.0
221,245,2010,1,11,4,4,-21.0,43.0,1035.0,-11.0,NE,4.02,0.0,0.0,16.0
222,246,2010,1,11,5,4,-22.0,43.0,1035.0,-12.0,NW,3.13,0.0,0.0,16.0
223,247,2010,1,11,6,4,-22.0,43.0,1035.0,-12.0,NE,4.92,0.0,0.0,20.0
224,248,2010,1,11,7,4,-22.0,46.0,1036.0,-13.0,NW,5.81,0.0,0.0,20.0
225,249,2010,1,11,8,4,-22.0,34.0,1036.0,-9.0,NW,13.86,0.0,0.0,18.0
226,250,2010,1,11,9,4,-22.0,36.0,1036.0,-10.0,NW,21.91,0.0,0.0,25.0
227,251,2010,1,11,10,4,-22.0,34.0,1036.0,-9.0,NW,29.06,0.0,0.0,26.0
228,252,2010,1,11,11,4,-21.0,37.0,1036.0,-9.0,NW,33.08,0.0,0.0,27.0
229,253,2010,1,11,12,4,-20.0,32.0,1035.0,-6.0,NW,42.02,0.0,0.0,28.0
230,254,2010,1,11,13,4,-19.0,32.0,1034.0,-5.0,NW,50.96,0.0,0.0,15.0
231,255,2010,1,11,14,4,-19.0,32.0,1033.0,-5.0,NW,59.01,0.0,0.0,24.0
232,256,2010,1,11,15,4,-20.0,29.0,1033.0,-5.0,NW,66.16,0.0,0.0,13.0
233,257,2010,1,11,16,4,-20.0,29.0,1032.0,-5.0,NW,71.97,0.0,0.0,13.0
234,258,2010,1,11,17,4,-20.0,29.0,1033.0,-5.0,NW,76.89,0.0,0.0,13.0
235,259,2010,1,11,18,4,-20.0,34.0,1033.0,-7.0,NW,81.81,0.0,0.0,17.0
236,260,2010,1,11,19,4,-22.0,29.0,1033.0,-7.0,NW,85.83,0.0,0.0,20.0
237,261,2010,1,11,20,4,-22.0,31.0,1033.0,-8.0,NW,89.85,0.0,0.0,27.0
238,262,2010,1,11,21,4,-23.0,33.0,1033.0,-10.0,NW,91.64,0.0,0.0,20.0
239,263,2010,1,11,22,4,-23.0,42.0,1033.0,-13.0,NW,93.43,0.0,0.0,15.0
240,264,2010,1,11,23,4,-22.0,43.0,1032.0,-12.0,cv,0.89,0.0,0.0,21.0
241,265,2010,1,12,0,4,-22.0,55.0,1031.0,-15.0,cv,1.78,0.0,0.0,21.0
242,266,2010,1,12,1,4,-22.0,50.0,1031.0,-14.0,NE,1.79,0.0,0.0,37.0
243,267,2010,1,12,2,4,-22.0,50.0,1031.0,-14.0,NW,0.89,0.0,0.0,26.0
244,268,2010,1,12,3,4,-24.0,59.0,1030.0,-18.0,NE,1.79,0.0,0.0,15.0
245,269,2010,1,12,4,4,-24.0,39.0,1030.0,-13.0,NE,3.58,0.0,0.0,9.0
246,270,2010,1,12,5,4,-25.0,38.0,1030.0,-14.0,NW,3.13,0.0,0.0,11.0
247,271,2010,1,12,6,4,-24.0,42.0,1030.0,-14.0,NW,7.15,0.0,0.0,11.0
248,272,2010,1,12,7,4,-25.0,33.0,1030.0,-12.0,NW,12.96,0.0,0.0,16.0
249,273,2010,1,12,8,4,-26.0,35.0,1030.0,-14.0,NW,16.98,0.0,0.0,13.0
250,274,2010,1,12,9,4,-25.0,33.0,1031.0,-12.0,NW,21.0,0.0,0.0,15.0
251,275,2010,1,12,10,4,-25.0,30.0,1031.0,-11.0,NW,26.81,0.0,0.0,21.0
252,276,2010,1,12,11,4,-24.0,33.0,1030.0,-11.0,NW,35.75,0.0,0.0,24.0
253,277,2010,1,12,12,4,-23.0,36.0,1029.0,-11.0,NW,47.82,0.0,0.0,22.0
254,278,2010,1,12,13,4,-22.0,39.0,1029.0,-11.0,NW,63.02,0.0,0.0,22.0
255,279,2010,1,12,14,4,-23.0,36.0,1029.0,-11.0,NW,75.98,0.0,0.0,22.0
256,280,2010,1,12,15,4,-22.0,39.0,1029.0,-11.0,NW,88.05,0.0,0.0,19.0
257,281,2010,1,12,16,4,-23.0,36.0,1030.0,-11.0,NW,101.01,0.0,0.0,23.0
258,282,2010,1,12,17,4,-24.0,33.0,1030.0,-11.0,NW,109.06,0.0,0.0,25.0
259,283,2010,1,12,18,4,-24.0,33.0,1032.0,-11.0,NW,118.0,0.0,0.0,25.0
260,284,2010,1,12,19,4,-23.0,36.0,1032.0,-11.0,NW,126.05,0.0,0.0,31.0
261,285,2010,1,12,20,4,-23.0,39.0,1032.0,-12.0,NW,134.1,0.0,0.0,25.0
